Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -d sgNT_MC38_1/ sgNT_MC38_2/ sgArid1a_MC38_1/ sgArid1a_MC38_2/ -tpm)	chr	start	end	strand	Length	Copies	Annotation/Divergence	sgNT_MC38_1/ TPM	sgNT_MC38_2/ TPM	sgArid1a_MC38_1/ TPM	sgArid1a_MC38_2/ TPM
NM_018853	chr9	61913283	61914510	-	463	1	Rplp1|2410042H16Rik|Arpp1|C430017H15Rik|-|9|9 B|protein-coding	3988.738	4282.319	3987.346	4173.831
NM_008302	chr17	45567778	45573261	-	2495	1	Hsp90ab1|90kDa|AL022974|C81438|Hsp84|Hsp84-1|Hsp90|Hspcb|-|17 B3|17 22.59 cM|protein-coding	3972.021	3833.215	3728.912	3558.91
NM_008495	chr15	78926725	78930465	+	794	1	Lgals1|AA410090|Gal-1|Galbp|L-14.5|L14|Lect14|galectin-1|-|15 E1|15 37.7 cM|protein-coding	3355.266	3474.684	2598.365	2672.393
NM_012053	chr15	76904071	76906318	+	854	1	Rpl8|-|-|15|15 D3|protein-coding	3215.151	3278.529	3174.765	3229.191
NM_007475	chr5	115559467	115563729	+	1351	1	Rplp0|36B4|Arbp|L10E|-|5|5 F|protein-coding	3066.493	3161.905	3007.177	2944.498
NM_011313	chr3	90612894	90614414	+	714	1	S100a6|2A9|5B10|CALCYCLIN|Cacy|PRA|-|3 F1|3 39.35 cM|protein-coding	3048.43	2984.613	3322.317	3327.136
NM_010106	chr9	78478454	78481724	-	1779	1	Eef1a1|-|-|9|9 E1|protein-coding	2993.416	2853.149	2645.04	2586.509
NM_008143	chr11	48800360	48806241	+	1244	1	Rack1|AL033335|GB-like|Gnb2-rs1|Gnb2l1|p205|-|11|11 B1.2|protein-coding	2931.897	3020.699	2763.867	2801.829
NM_018860	chr10	128548110	128549168	-	443	1	Rpl41|1810055P16Rik|2210411K19Rik|-|10|10 D3|protein-coding	2494.929	2614.314	2454.597	2530.083
NM_007393	chr5	142903115	142906754	-	1912	1	Actb|Actx|E430023M04Rik|beta-actin|-|5 G2|5 81.8 cM|protein-coding	2358.789	2281.425	2253.174	2162.758
NM_009091	chr10	80292431	80294114	+	516	1	Rps15|rig|-|10|10 C1|protein-coding	2342.286	2497.286	2303.144	2417.566
