Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -raw -d sgNT_rep1_S65/ sgNT_rep2_S66/ sgArid1a_rep1_S67/ sgArid1a_rep2_S68) (cmd=getDiffExpression.pl sgArid1a_nostim_raw.txt -edgeR -simpleNorm -dispersion 0.05 sgNT sgNT sgARID1A sgARID1A -export diff -log2fold .585)	chr	start	end	strand	Length	Copies	Annotation/Divergence	sgNT_rep1_S65/ (28413949.0 total)	sgNT_rep2_S66/ (31159073.0 total)	sgArid1a_rep1_S67/ (29840911.0 total)	sgArid1a_rep2_S68 (27904258.0 total)	sgARID1A vs. sgNT Log2 Fold Change	sgARID1A vs. sgNT p-value	sgARID1A vs. sgNT adj. p-value
NM_029455	chr2	125983483	126152004	-	1839.0	1	Fam227b|4930525F21Rik|-|2|2 F1|protein-coding	40.53	44.12	44.11	50.40	0.163662685850774	0.486648850229543	1
NR_106086	chr4	133717050	133717108	-	58.0	1	Mir7227|mmu-mir-7227|-|4|4 D2.3|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_144958	chr11	69666936	69672423	-	1867.0	1	Eif4a1|BM-010|Ddx2a|Eif4|-|11 B3|11 42.86 cM|protein-coding	2885.07	2925.34	2883.69	2861.17	-0.00554075069033069	0.909280288736866	1
NM_028889	chr1	87264364	87310791	+	1799.0	1	Efhd1|4931430I01Rik|AI452351|PP3051|mitocalcin|-|1|1 C5|protein-coding	7.28	16.90	17.64	13.65	0.359500092418139	0.444962475593005	1
NM_001130188	chr6	4674350	4747204	-	1790.0	1	Sgce|e-SG|-|6 A1|6 1.81 cM|protein-coding	2685.53	2669.98	2789.59	2638.57	0.0309484813214265	0.522910928939411	1
NM_027154	chr1	74288247	74304336	-	2295.0	1	Tmbim1|2310061B02Rik|AA960455|AU024746|C78899|RECS1|Tmbib1|mKIAA4161|-|1|1 C3|protein-coding	2114.96	2120.78	2370.08	2253.23	0.137691923779417	0.00553827481433317	0.167198498995126
NM_029777	chr1	82316579	82445367	+	3501.0	1	Rhbdd1|4930418P06Rik|RRP4|mRHBDD1|-|1|1 C5|protein-coding	1913.33	1950.85	2064.26	1931.94	0.0597766066323317	0.250169658615139	1
NM_172405	chr5	100804802	100820935	-	2488.0	1	Fam175a|3830405G04Rik|5630400M01Rik|AI506069|AL024423|AV118690|Ccdc98|-|5|5 E4|protein-coding	427.15	443.12	484.21	425.24	0.0755951352513726	0.389641592698379	1
NM_207141	chr9	39469780	39470724	-	943.0	1	Olfr955|MOR171-34|MOR171-50|-|9|9 A5.1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001162368	chr10	102158858	102391468	+	3853.0	1	Mgat4c|9130411I17Rik|GntIVh|-|10|10 D1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_199449	chr15	57694667	57839832	+	4368.0	1	Zhx2|Afr-1|Afr1|Raf|mKIAA0854|-|15 D1|15 24.01 cM|protein-coding	1125.55	1093.72	1067.42	1140.27	0.00305879215400888	0.965900224734784	1
NM_001007583	chr10	116986314	117025040	+	2707.0	1	Best3|Vmd2l3|mBest4|-|10|10 D2|protein-coding	2.08	0.00	1.96	5.25	1.73479122547176	0.186349485275427	1
NM_001324526	chr8	71140369	71171456	+	1353.0	1	Gm7827|EG665858|-|8|8 B3.3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_172420	chr2	79707780	79810740	+	3064.0	1	Ppp1r1c|4930565M23Rik|4930579P15Rik|-|2|2 C3|protein-coding	10.39	26.29	11.76	16.80	-0.380614667995986	0.429944483121556	1
NM_008117	chr11	106300261	106301896	-	896.0	1	Gh|Gh1|Ghb1|-|11 E1|11 68.89 cM|protein-coding	1.04	0.00	0.00	0.00	-2.30249020305659	0.999999999999998	1
NM_010910	chr14	68083884	68087737	+	1995.0	1	Nefl|AI847934|CMT2E|NF-L|NF68|Nfl|-|14|14 D1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001004147	chr11	35797380	35798884	-	1502.0	1	Fbll1|AI595406|-|11|11 A4|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_105873	chr10	78445095	78445157	-	62.0	1	Mir6908|Gm27827|mmu-mir-6908|-|10|10 C1|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NR_037692	chr1	85928483	85931756	+	1145.0	1	4933407L21Rik|-|-|1|1 C5|ncRNA	0.00	1.88	0.00	1.05	-0.804206850206689	1	1
